iter	RMSE
0	1.126381268
1	1.108485303
2	1.091900566
3	1.07638719
4	1.062256341
5	1.049096644
6	1.036740268
7	1.025424321
8	1.014810131
9	1.002600849
10	0.9932790301
11	0.9843451978
12	0.9761836045
13	0.9685013959
14	0.9596335308
15	0.9527142536
16	0.9454974964
17	0.9395583481
18	0.9332833037
19	0.9267556785
20	0.9209371183
21	0.9162487383
22	0.9107929118
23	0.9044145402
24	0.9003975771
25	0.8960201094
26	0.892400698
27	0.888258791
28	0.8844231192
29	0.8815353859
30	0.8788700687
31	0.8750226431
32	0.8720376689
33	0.8693567874
34	0.8653252333
35	0.8618896349
36	0.8584420336
37	0.8555443405
38	0.8532375452
39	0.8509823359
40	0.8488116513
41	0.8470848194
42	0.8451814293
43	0.8433042947
44	0.8415953601
45	0.8401475093
46	0.8379272609
47	0.8350356971
48	0.8335359001
49	0.8320049962
50	0.8302863218
51	0.8286683208
52	0.8274180451
53	0.8248880952
54	0.8229124449
55	0.8204392644
56	0.819040458
57	0.8167149889
58	0.8156213594
59	0.8145530498
60	0.8132926116
61	0.81240178
62	0.8106590765
63	0.8087304613
64	0.8065687459
65	0.8057396592
66	0.8047666303
67	0.8039691406
68	0.8029745024
69	0.8021463112
70	0.8009839915
71	0.7985870556
72	0.7967485308
73	0.7961046887
74	0.7942035875
75	0.7932026432
76	0.7917572587
77	0.7909085213
78	0.790057016
79	0.7889721819
80	0.7884960703
81	0.7870256083
82	0.7850300957
83	0.7836638554
84	0.7830182619
85	0.7825039674
86	0.7813336081
87	0.7797090486
88	0.7790391653
89	0.778568138
90	0.7780666417
91	0.7772796714
92	0.77678815
93	0.7755262246
94	0.7746880003
95	0.7738537388
96	0.7731565774
97	0.7727524959
98	0.7722342679
99	0.7712302324
