iter	Passed	Remaining
0	159	15787
1	284	13932
2	406	13131
3	529	12714
4	654	12437
5	783	12278
6	909	12087
7	1027	11815
8	1155	11682
9	1292	11628
10	1416	11457
11	1539	11287
12	1672	11195
13	1806	11095
14	1945	11021
15	2068	10859
16	2182	10656
17	2312	10536
18	2436	10387
19	2573	10294
20	2690	10120
21	2805	9947
22	2935	9827
23	3061	9694
24	3174	9523
25	3295	9380
26	3419	9245
27	3550	9130
28	3672	8990
29	3785	8833
30	3928	8743
31	4054	8615
32	4173	8473
33	4304	8356
34	4445	8256
35	4572	8129
36	4698	7999
37	4835	7888
38	4958	7755
39	5074	7612
40	5197	7479
41	5311	7335
42	5430	7198
43	5550	7064
44	5670	6930
45	5788	6795
46	5921	6677
47	6047	6551
48	6164	6416
49	6283	6283
50	6410	6159
51	6557	6052
52	6679	5922
53	6811	5802
54	6946	5683
55	7074	5558
56	7210	5439
57	7341	5316
58	7466	5188
59	7591	5060
60	7712	4931
61	7838	4804
62	7959	4674
63	8081	4545
64	8204	4417
65	8319	4285
66	8450	4161
67	8573	4034
68	8710	3913
69	8825	3782
70	8940	3651
71	9072	3528
72	9208	3405
73	9341	3282
74	9489	3163
75	9616	3036
76	9759	2915
77	9899	2792
78	10040	2668
79	10165	2541
80	10281	2411
81	10436	2291
82	10580	2166
83	10705	2039
84	10842	1913
85	10965	1785
86	11094	1657
87	11207	1528
88	11334	1400
89	11449	1272
90	11580	1145
91	11704	1017
92	11823	889
93	11950	762
94	12061	634
95	12173	507
96	12307	380
97	12424	253
98	12552	126
99	12673	0
